"Date","Time","Open","High","Low","Close","Vol","OI","FastEMA","SlowEMA","MACD","MACDAvg","MACDDiff","ZeroLine","Momentum","ZeroLine","FastAvg","MedAvg","SlowAvg","Vol","VolAvg","OBV","AccDst-PrVol","ADX","TrigLevel","RSI","OverBot","OverSld","UpperBand","LowerBand","MidLine","ATR","PLOT1"
01/16/2022,18:30,4929.75,4931.75,4927.75,4930.50,560,411,4932.86,4933.78,-0.93,0.57,-1.50,0.00,-5.75,0.00,4928.15,4927.59,4940.08,971.00,1575.93,1789921.00,291285.11,21.26,20.00,44.64,70.00,30.00,4948.81,4924.77,4936.79,4.61,4929.75
01/16/2022,18:40,4930.50,4930.75,4928.00,4928.25,367,614,4932.15,4933.37,-1.23,0.21,-1.44,0.00,-5.25,0.00,4928.36,4927.47,4939.72,981.00,1469.14,1788940.00,290482.47,21.39,20.00,41.52,70.00,30.00,4947.69,4924.11,4935.90,4.25,4930.50
01/16/2022,18:50,4928.50,4929.00,4924.50,4929.00,1083,1278,4931.66,4933.05,-1.39,-0.11,-1.28,0.00,-7.00,0.00,4928.62,4927.33,4939.34,2361.00,1478.07,1791301.00,290744.81,22.24,20.00,42.95,70.00,30.00,4946.11,4923.94,4935.02,4.13,4928.25
01/16/2022,19:00,4929.00,4929.75,4928.00,4928.75,485,414,4931.22,4932.73,-1.52,-0.39,-1.13,0.00,-7.75,0.00,4928.85,4927.14,4938.99,899.00,1429.00,1790402.00,290616.38,22.75,20.00,42.58,70.00,30.00,4943.89,4924.28,4934.09,3.82,4929.00
01/16/2022,19:10,4928.50,4931.25,4928.25,4931.00,718,497,4931.18,4932.60,-1.42,-0.59,-0.83,0.00,-2.50,0.00,4929.36,4926.97,4938.65,1215.00,1419.79,1791617.00,291628.88,22.66,20.00,47.05,70.00,30.00,4942.20,4924.68,4933.44,3.71,4928.75
01/16/2022,19:20,4930.75,4931.75,4930.25,4931.25,408,402,4931.19,4932.50,-1.31,-0.74,-0.57,0.00,-1.50,0.00,4930.00,4926.77,4938.35,810.00,1390.07,1792427.00,291898.88,22.39,20.00,47.53,70.00,30.00,4940.70,4925.08,4932.89,3.52,4931.00
01/16/2022,19:30,4931.00,4933.00,4930.75,4932.75,645,409,4931.43,4932.52,-1.09,-0.81,-0.28,0.00,-1.50,0.00,4930.68,4926.62,4938.04,1054.00,1347.71,1793481.00,292718.66,21.68,20.00,50.48,70.00,30.00,4938.35,4926.32,4932.34,3.36,4931.25
01/16/2022,19:40,4933.00,4935.50,4932.50,4935.25,842,547,4932.02,4932.72,-0.70,-0.79,0.08,0.00,5.50,0.00,4931.37,4926.50,4937.77,1389.00,1373.50,1794870.00,293760.41,20.17,20.00,55.02,70.00,30.00,4937.19,4927.01,4932.10,3.32,4932.75
01/16/2022,19:50,4935.50,4935.75,4934.00,4935.50,378,271,4932.56,4932.93,-0.37,-0.70,0.33,0.00,5.00,0.00,4932.13,4926.38,4937.44,649.00,1348.50,1795519.00,293760.41,18.77,20.00,55.46,70.00,30.00,4937.04,4927.09,4932.06,3.21,4935.25
01/16/2022,20:00,4935.25,4937.75,4933.75,4935.00,692,602,4932.93,4933.08,-0.15,-0.59,0.44,0.00,2.50,0.00,4932.90,4926.29,4937.08,1294.00,1262.57,1794225.00,293679.53,18.09,20.00,54.32,70.00,30.00,4937.24,4927.03,4932.14,3.00,4935.50
01/16/2022,20:10,4935.00,4935.50,4932.50,4934.00,421,497,4933.10,4933.15,-0.05,-0.49,0.43,0.00,4.00,0.00,4933.52,4926.21,4936.74,918.00,1154.36,1793307.00,293373.53,17.03,20.00,52.01,70.00,30.00,4936.91,4927.17,4932.04,2.98,4935.00
01/16/2022,20:20,4933.75,4937.00,4933.25,4936.25,605,296,4933.58,4933.38,0.20,-0.35,0.55,0.00,6.50,0.00,4934.00,4926.15,4936.41,901.00,1131.86,1794208.00,293974.20,16.50,20.00,56.49,70.00,30.00,4936.85,4927.20,4932.02,3.02,4934.00
01/16/2022,20:30,4936.50,4936.50,4933.75,4934.25,162,313,4933.68,4933.44,0.24,-0.23,0.47,0.00,3.75,0.00,4934.43,4926.03,4936.11,475.00,1082.00,1793733.00,293585.56,16.02,20.00,51.86,70.00,30.00,4936.94,4927.18,4932.06,2.96,4936.25
01/16/2022,20:40,4934.25,4934.50,4929.50,4929.50,495,1054,4933.04,4933.15,-0.11,-0.21,0.10,0.00,1.25,0.00,4934.75,4925.88,4935.88,1549.00,1104.71,1792184.00,292114.01,15.60,20.00,42.86,70.00,30.00,4936.89,4926.91,4931.90,3.07,4934.25
